Question,Answer
EIKON은 어떻게 이용할 수 있나요?,"로욜라도서관 1관 3층 지정 PC에서만 이용 가능하며, 이용에 필요한 로그인 계정은 1관 3층 참고서비스 데스크로 문의하시기 바랍니다. (문의 : 창의지식협력팀 705-8692 libdigt@sogang.ac.kr)"
Dataguide (데이터가이드)는 어떻게 이용할 수 있나요?,"Dataguide는 국내 주식, 재무, 경제 등 금융관련 DB로 전용 프로그램을 설치하여야 이용이 가능합니다. (교내 이용만 가능) 프로그램의 설치는 해당 홈페이지( http://www.dataguide.co.kr )에 접속하신 후 “프로그램 인증 및 설치” 아이콘을 클릭하여 시작할 수 있습니다. (사용자 ID / PW : fnsogang / 0000) * 설치 시 주의사항 1) Step3에 기재되는 인증키 정보는 설치 후 인증에 필요하니 별도로 메모해 두시기 바랍니다. 2) 컴퓨터 운영체제에 맞춰 32비트 및 64비트 중 선택하여 다운로드 하시기 바랍니다. (문의 : 창의지식협력팀 705-8692 libdigt@sogang.ac.kr)"
교외에서 접속되지 않는 전자자료도 있나요?,"일부 학술DB는 지정된 위치에서만 이용이 가능하거나, 동시 이용 인원의 제한이 있는 경우가 있습니다. 로욜라도서관 홈페이지의 해당 학술DB 이용 안내를 통해 이용 방법을 확인하시기 바랍니다. (자료검색 > Browse > 각 메뉴별 제공 자료 확인) (문의 : 창의지식협력팀 705-8692 libdigt@sogang.ac.kr)"
Google Scholar(구글 학술검색)에서 로욜라도서관 구독 전자자료를 볼 수 있나요?,"로욜라도서관이 구독하고 있는 전자자료의 원문 등을 구글 학술검색을 통해서도 이용할 수 있습니다. * 이용방법 : Google 학술검색 > 설정 > 라이브러리 링크 메뉴에서 ""서강대학교 로욜라도서관""을 검색하여 선택하고 저장 설정이 완료되면 학술정보 검색 시 이용 가능한 자료에 ""Find it@SOGANG"" 링크가 표시됨 (문의 : 창의지식협력팀 705-8692 libdigt@sogang.ac.kr)"
어떤 학술DB를 이용해야 할 지 모르겠습니다.,로욜라도서관 홈페이지에서는 아래와 같이 다양한 구성으로 학술DB 이용 가이드를 제공하고 있습니다. 1. 주제별 안내 : 자료검색 > Browse > 학술DB > 주제별리스트 탭 2. 주요 전자자료 안내 : 연구학습지원 > 연구지원 > 핵심전자자료가이드 3. 학부별 안내 : 연구학습지원 > 연구지원 > 연구가이드 (문의 : 창의지식협력팀 705-8692 libdigt@sogang.ac.kr)
전자저널이나 전자책의 원문이 열리지 않고 로그인 요구 메시지 또는 결제 요청 화면이 뜨는 경우 원문은 어떻게 이용할 수 있나요?,"로그인 창 또는 유료 결제 화면이 뜨는 경우는 아래와 같이 다양합니다. 1. 로욜라도서관 구독 자료가 아닌 경우 2. 이용 권한이 있지만 출판사 사이트 오류로 접속이 안되는 경우 3. 동시 이용자수를 초과한 경우 4. 일시적인 교외접속 오류 등 원문 접속이 어려운 경우 정확한 서지정보(전자자료명, 논문명, 권호 정보 등)와 접속 환경을 확인하시고 디지털정보팀(libdigt@sogang.ac.kr)으로 문의해 주시기 바랍니다. 또는 타도서관 자료 복사 서비스를 이용하시기 바랍니다. ( 도서관 이용 > 자료 이용 > 타도서관 자료 복사 ) (문의 : 창의지식협력팀 705-8692 libdigt@sogang.ac.kr)"
"필요한 학술DB가 있는데, 로욜라도서관에서 구독하지 않고 있습니다. 학술DB 구입 신청은 어떻게 하나요?",학술DB는 연간으로 구독할 수 있는 고가의 자료입니다. 따라서 로욜라도서관에서는 자체 평가 기준과 예산 상황에 따라 신규 구독여부를 결정하게 됩니다. 소속학과(행정팀)를 통해 구독 신청을 해 주시면 제공 업체에 구독 조건을 확인하고 평가를 진행한 후 결정하게 됩니다. 보다 자세한 사항은 디지털정보팀(libdigt@sogang.ac.kr)으로 문의해 주시기 바랍니다. (문의 : 창의지식협력팀 705-8692 libdigt@sogang.ac.kr)
타도서관 자료복사는 비용은 어떻게 되나요?,"발송방법에 따라 장당 비용이 달라지며, 신청비용에서 50%는 도서관에서 지원하며, 나머지 50%는 이용자부담입니다. FRIC(무료 외국학술지지원센터) 소장 자료 신청 시 전액 무료로 이용 가능합니다. 자세한 사항은 홈페이지 ""도서관 홈페이지 로그인 > 도서관 이용 > 자료 이용 > 타도서관 자료 복사""를 참고하세요. (문의 : 지식정보기획팀 705-8174  libinter@sogang.ac.kr)"
PDF로 자료를 받아 볼수 있나요?,저작권법으로 인해 파일의 전송은 불가능합니다. 인쇄물로만 제공해 드리고 있습니다. (문의 : 지식정보기획팀 705-8174  libinter@sogang.ac.kr)
전권복사 가능한가요?,단행본은 저작권 보호를 위해 부분 복사만 가능합니다. (최대 50%) (문의 : 지식정보기획팀 705-8174  libinter@sogang.ac.kr)
타도서관 자료 복사는 대리수령 가능한가요?,타도서관 자료 복사는 신청자 본인방문 후 복사물 전달을 원칙으로 하고 있습니다. 대리수령 불가능 합니다. (문의 : 지식정보기획팀 705-8174  libinter@sogang.ac.kr)
연체료 발생 시 카드결제 가능한가요?,"타도서관 자료 대출 연체료는 현금 납부만(계좌이체 불가능) 가능하며, 연체료 미납 시 자료 반납이 불가능합니다. (문의 : 지식정보기획팀 705-8174  libinter@sogang.ac.kr)"
타도서관 자료 도서는 재대출 가능한가요?,타도서관 자료 도서는 반납 후 즉시 재대출은 불가합니다. (문의 : 지식정보기획팀 705-8174  libinter@sogang.ac.kr)
타도서관 자료 도서는 연장 가능한가요?,타도서관 자료 도서는 연장 불가합니다. (문의 : 지식정보기획팀 705-8174  libinter@sogang.ac.kr)
타도서관 자료 도서 수령과 반납은 어디서 하나요?,"타도서관 자료 도서는 로욜라도서관 1관 2층 타도서관 자료 대출/복사 서비스 데스크에서만 실물확인 후 수령 및 반납이 가능합니다. 무인반납기 반납은 불가하며, 분실시 변상의 책임이 있습니다. (문의 : 지식정보기획팀 705-8174  libinter@sogang.ac.kr)"
타도서관 자료 도서는 몇권까지 대출 가능한가요?,"신분별로 가능한 도서 대출 책수에 포함되며, 각 협력 기관당 3권씩 신청 가능합니다. (문의 : 지식정보기획팀 705-8174  libinter@sogang.ac.kr)"
학부생은 타도서관 자료도서를 신청 할수 있나요?,"타도서관 자료도서 이용대상은 본교 소속 교직원 및 대학원생 (학부 및 졸업생 회원, 추천/특별회원 등 불가) 입니다. 학부생은 상호대차 불가하며, 원문복사를 이용을 권장해 드립니다. (문의 : 지식정보기획팀 705-8174  libinter@sogang.ac.kr)"
희망자료가 도착했다는데 대출실에 오면 대출할 수 있는 건가요?,"구입신청 자료가 도착했다는 이메일 또는 문자는 신청하신 자료가 도서관에 입수되었다는 뜻으로, 아직 대출이 가능하다는 얘기는 아닙니다. 희망자료를 신청한 자에게 먼저 예약하여 대출할 수 있도록 이메일 또는 문자로 안내하는 것이며, 해당 자료를 대출하기 위해서는 홈페이지에서 우선정리(정리중 자료 예약)를 반드시 신청해야 합니다. 신청방법은 [도서관 홈페이지(로그인) > My Library > 자료이용 > 희망자료 신청내역> 자료명 오른쪽 돋보기 모양 클릭 > 상세정보 내 '예약' 버튼]을 클릭하여 예약하면 됩니다. 일정시간이 지나면 모든 이용자가 예약 신청을 할 수 있으므로 주의하기 바랍니다. (문의 : 지식정보개발팀 705-8188 libcat@sogang.ac.kr)"
대출한 책을 분실하였습니다. 어떻게 하면 좋을까요?,"책을 분실하셨을 때는 도서관 홈페이지, ""My Library-자료이용-대출 조회 및 연장, 분실신고-대출현황"" 에서 분실신고를 하신 후, 변상을 하시면 됩니다. 변상은 현금변상과 현물변상 둘 중에 하나를 선택하시게 되며, 자세한 사항은 도서관 홈페이지를 참조해 주시기 바랍니다. (문의 : 지식정보기획팀 705-8645 libcir@sogang.ac.kr)"
장기대출을 하고 싶어요.,장기대출은 방학 시작 전 2주 동안만 가능합니다. 그 외 기간에는 이용할 수 없음을 기억하세요. (문의 : 지식정보기획팀 705-8645 libcir@sogang.ac.kr)
"홈페이지 검색결과 화면에서 소장처/자료실에 ""자료이용은 대출실로 문의""라고 나오는 자료는 어떻게 이용하나요?","도서관의 대부분의 자료는 자유롭게 서가에 접근해서 이용할 수 있지만, 일부 자료들은 별도의 자료실에 보관하면서 이용자 요청시 이용하실 수 있게 도와드리고 있습니다. ""자료이용은 대출실로 문의""라고 나오는 자료는 '대출실'에서 관리하는 별도의 자료실에 보관되어 있는 자료이며, AV자료, SM자료, 보관서고자료, 지정자료 등이 해당됩니다. 이 경우, 1관 2층 대출실로 오셔서 해당 자료를 이용하고싶다고 말씀하시면, 자료를 이용하실 수 있게 도와드립니다. (문의 : 지식정보기획팀 705-8645 libcir@sogang.ac.kr)"
대출중인 책인데 예약버튼이 뜨질 않아요. 어떻게 예약하나요?,"동일 책이 여러 권 있는데, 모두 대출중일 경우, 예약버튼은 하나의 등록번호에만 나타납니다. 각 등록번호별로 예약하는 게 아닌, 해당 서지에 대해 예약을 해서 예약 순서에 따라 먼저 반납되는 책을 배정받아 이용하게 되는 시스템입니다. 즉, 화장실 한 줄 서기와 같다고 생각하시면 됩니다.  또한, 대출가능인 책이 한 권이라도 있으면, 대출중인 책에 예약버튼은 나타나지 않으므로 착오 없으시기 바랍니다. (문의 : 지식정보기획팀 705-8645 libcir@sogang.ac.kr)"
연체료를 다음에 내도 되나요? 졸업할 때까지 안내면 소멸이 되나요?,"연체료를 납부하지 않으시면, 책을 대출하실 수 없고, 대출하신 책들을 연장하거나, 다른 책을 예약하실 수 없습니다. 또한, 졸업 후에도 소멸되지 않고 남아서, 각종 증명서 발급을 하실 수 없습니다. 따라서, 부득이한 경우가 아니라면, 연체된 책을 반납하는 시점에서 연체료를 납부하시는 게 가장 바람직합니다. (문의 : 지식정보기획팀 705-8645 libcir@sogang.ac.kr)"
"반납을 하지 않고, 연체료를 낼 수 있나요?",연체료는 연체된 자료를 반납하셔야만 납부하실 수 있습니다. (문의 : 지식정보기획팀 705-8645 libcir@sogang.ac.kr)
책을 연체했을 경우 어떤 불이익이 있나요? 연체료를 납부하더라도 일정기간 동안 책을 빌릴 수가 없나요?,"책을 연체하면, 추가로 책을 대출하실 수 없고 대출하신 책들의 반납예정일을 연장하거나, 다른 책을 예약하실 수 없습니다. 연체된 책을 반납하고 연체료를 납부하시면, 모든 서비스 제약은 사라지며, 정상적으로 서비스를 이용하실 수 있습니다. (문의 : 지식정보기획팀 705-8645 libcir@sogang.ac.kr)"
도서관 개관시간에 도서관을 방문할 수가 없습니다. 대출한 책을 반납하려고 하는데 어떻게 하면 좋을까요?,도서관 1관 출입구에 위치한 무인반납함을 이용하셔서 책을 반납하시면 됩니다. 무인반납함은 도서관 폐관시간 동안 이용하실 수 있습니다. 자세한 내용은 도서관 홈페이지를 참조하세요. https://library.sogang.ac.kr/htmlmanager/service/198 (문의 : 지식정보기획팀 705-8645 libcir@sogang.ac.kr)
대출가능인데 서가에 책이 없어요.,"대출가능인 책은 여러가지 이유로 서가에 없을 수 있습니다. 우선, 대출하지 않고 이용자가 책을 보고 있을 수 있습니다. 둘째, 해당 책이 이용된 후 서가에 꽂히기 전일 수 있습니다. 셋째, 해당 책이 잘못 꽂혀 있을 수 있습니다. 첫째, 둘째의 경우 다른 일시에 도서관을 재방문하여 책을 찾아보면 찾을 확률이 높으나, 몇 번 책을 찾아봐도 없을 경우는 셋째 경우일 가능성이 높으므로, 이 경우는  '서가에 없는 자료' 신고를 해서 책을 찾으시기 바랍니다. '서가에 없는 자료' 신고는 도서관 홈페이지 자료 검색결과 상세정보화면의 ’소장정보‘에 나타나는 해당 서비스 아이콘을 클릭하시면 됩니다. 단, ’서가에 없는 자료‘ 신고는 도서관에 위치한 데스크탑 PC에서만 가능하다는 점 기억하세요! (문의 : 지식정보기획팀 705-8645 libcir@sogang.ac.kr)"
대출연장은 어떻게 하나요?,"대출연장은 홈페이지 'My Library'-’자료이용‘-’대출 조회 및 연장, 분실신고‘ 에서 직접 2회까지 하실 수 있으며, 2회까지 모두 연장하셨을 경우에는 반납 후 재대출을 하실 수 있습니다. 단, 해당 책에 예약이 걸려 있거나 연체된 자료가 있거나, 미납 연체료가 있는 경우에는 연장 및 재대출 모두 불가능합니다. (문의 : 지식정보기획팀 705-8645 libcir@sogang.ac.kr)"
학부생 대출권수 및 기간이 어떻게 되나요?,학부생은 일반 단행본 20권을 15일 동안 빌릴 수 있습니다. 다양한 신분 및 자료 유형에 따른 대출 권수 및 기간은 도서관 홈페이지 ‘도서관 이용'-'자료이용'-’자료대출반납안내‘-’대출 권수 및 기간‘ 을 참고해 주시기 바랍니다. (문의 : 지식정보기획팀 705-8645 libcir@sogang.ac.kr)
U-Dream Hall 은 어떻게 이용하나요?,"도서관 1관 2층에 위치한 U-Dream Hall은 스크린 및 프로젝트, 3인용 이동식 책상 16개 좌석을 이용하여 교육, 회의, 행사를 진행할 수 있는 공간입니다.  이용방법은 도서관이용 > 시설이용 > 전시 및 행사 공간 이용안내를 참조하시기 바랍니다. (문의 : 지식정보기획팀  705-4778 libadm@sogang.ac.kr)"
로욜라 이주연 갤러리를 어떻게 이용하나요?,도서관 1 관 1 층에 위치한 로욜라 이주연 갤러리는 각종 전시와 다양한 행사를 진행할 수 있는 공간입니다 . 이용방법은 도서관이용 > 시설이용 > 전시 및 행사 공간 이용 안내를 참조하시기 바랍니다 . ( 문의 : 정보서비스팀 705-8197 libsns@sogang.ac.kr)
타도서관을 방문(자료열람 목적)하려면 어떻게 해야 하나요?,"서강대학교 신분으로 타도서관을 방문(자료열람 목적)하기 위해서는 '도서관열람의뢰서' 와 학생증(신분증)을 해당 도서관으로 가져가야 합니다. '도서관열람의뢰서'는 도서관 홈페이지 로그인 → 도서관 이용 → 시설 이용 → 타도서관 이용 신청 에서 출력할 수 있으며, 각 기관마다 서비스 운영 정책이 상이할 수 있으므로 사전에 해당 도서관 홈페이지 등을 참고하시기 바랍니다. ☞ 타도서관 이용 신청 안내 바로가기 (문의 : 지식정보기획팀 대출실 705-8191 libcir2@sogang.ac.kr)"
졸업생도 도서관을 이용할 수 있나요?,"졸업생은 별도의 회원('졸업생대출회원' 또는 '서강가족카드 동문회원') 등록을 통해 도서관을 이용할 수 있습니다. 회원 신규가입과 갱신에는 비용이 발생하며, 과거 도서관 이용내역에서 미반납 자료나 미납 연체료/변상금 등이 없어야 합니다. 자세한 내용 및 신청 양식은 아래에 링크된 안내페이지를 참고하여 주십시오. ☞ 졸업생 이용안내 바로가기 (문의 : 지식정보기획팀 대출실 705-8191 libcir2@sogang.ac.kr)"
보관서고 소장자료인 연속간행물은 어떻게 이용하나요?,"도서관 홈페이지에서 서지사항을 확인하시고 이용신청서를 작성하신 후, 3관 2층 창의지식협력팀 안내데스크로 제출해 주시기 바랍니다. (이용신청서 양식은 도서관 홈페이지 도서관소개>알림/문의>각종 양식 다운로드 에서 다운로드 또는 안내데스크에 비치) (문의 : 창의지식협력팀 705-8953 libper@sogang.ac.kr)"
3관 5층 만레사존의 스터디룸은 어떻게 사용할 수 있나요?,"만레사존 스터디룸은 최소 3인 이상 8인 이하의 인원이 있어야 이용가능하며, 서강대학교 모바일 학생증 앱에서 사용 7일전부터 예약 가능합니다. 이용시 주의사항과 자세한 사항은 도서관 홈페이지 스터디룸 이용안내 페이지를 참조하시기 바랍니다. (문의 : 지식정보기획팀 705-8198 libstudy@sogang.ac.kr)"
3관 4층에 위치한 캐럴은 어떻게 사용할 수 있나요?,도서관은 논문학기 이상 대학원생과 퇴직교수의 연구 편의를 위하여 부스형 개인용 열람좌석인 캐럴을 무료로 제공하고 있습니다. 홈페이지에서 2월과 8월에 신청 접수를 받고 있으며 최대 6개월동안 이용할 수 있습니다. (문의 : 지식정보기획팀 705-8198 libstudy@sogang.ac.kr)
자료를 기증할 수 있나요?,"대학 도서관 장서로 적합한 자료는 기증할 수 있습니다. 기증자료처리동의서와 함께 기증자료를 도서관 수서정리팀으로 제출하면 됩니다. 기증된 자료는 반환되지 않으며, 등록에서 제외된 경우 재기증, 행사용, 폐기 등으로 처리됩니다. 자세한 사항은 [도서관 소개 > 도서관 기부 > 자료기증] 을 참고하기 바랍니다. (문의 : 지식정보개발팀 705-8186 acqkor@sogang.ac.kr)"
dCollection 페이지 로그인(비밀번호)은 어떻게 하나요?,"학위논문 제출대상자에 한해 비밀번호를 발급받을 수 있습니다. ID는 학번이며, 이름은 SAINT에 등록된 이름과 동일합니다. 첫 로그인 시 이메일로 인증 절차를 거쳐 비밀번호를 생성한 후 로그인합니다. (문의 : 창의지식협력팀 705-8953 libcomp@sogang.ac.kr)"
학위논문을 온라인 비공개로 제출하고 싶습니다.,"dCollection에 학위논문 파일 제출시 공개 여부 및 단계를 설정할 수 있습니다. - 동의 : 학위논문 파일이 일반이용자들에게 검색되고 원문파일도 서비스 됩니다. - 비동의 : 학위논문이 검색은 되나 원문파일은 보이지 않습니다. (비공개 처리) - 원문서비스게시일 제한 (= 조건부 동의) : 특허 출원 등과 같은 사유로 원문서비스 시작일을 지정할 수 있습니다. - 원문서비스게시일을 설정하면 설정일 전에는 비동의, 설정일 이후부터는 동의 처리 됩니다. ※ 이미 제출한 온라인 학위논문의 공개여부 변경은 도서관 홈페이지-도서관 소개-알림/문의-각종 양식 다운로드 페이지에서 ""온라인학위논문 공개여부 변경 서류"" 게시글을 참고하시기 바랍니다. (문의 : 창의지식협력팀 705-8953 libcomp@sogang.ac.kr)"
참고문헌 관리 프로그램 RefWorks와 EndNote는 어떤 차이점이 있나요?,"두 프로그램 모두 참고문헌 관리에 편리하도록 구성되어 있습니다. 각각의 장단점이 있으므로, 주요 기능을 비교 후 사용하시기 바랍니다. (문의 : 창의지식협력팀 705-8692 libdigt@sogang.ac.kr)"
참고문헌 관리 프로그램이란 무엇인가요?,"서지정보는 학술정보로 접근할 수 있는 서명, 저자, 출판정보, 수록 저널 정보(저널명, 권호 정보) 등의 기본 정보를 말합니다. 참고문헌 관리 프로그램은 논문 작성 시 서지정보를 편리하게 관리, 인용할 수 있도록 도와주는 유용한 도구로 연구자들에게는 필수적인 프로그램입니다. 로욜라도서관은 RefWorks와 EndNote 프로그램을 제공하고 있습니다. (문의 : 창의지식협력팀 705-8692 libdigt@sogang.ac.kr)"
Turnitin 교수용 계정을 생성하려면 어떻게 해야 하나요?,"Turnitin 서비스 담당자를 통하여 계정을 생성합니다. libcomp@sogang.ac.kr으로 신청자 정보(이름, 소속 및 신분, 본인의 서강대 이메일)를 작성하여 신청해 주세요. Turnitin 계정이 생성되면 발송자명 'Turnitin No reply' 으로 신청자에게 메일이 발송됩니다. (문의 : 창의지식협력팀 705-8953 libcomp@sogang.ac.kr)"
Turnitin 학생용 계정을 생성하려면 어떻게 해야 하나요?,"Turnitin 홈페이지에 접속하여 스스로 계정을 생성합니다. 1) Turnitin 홈페이지 우측 상단의 ""회원 가입""을 클릭 2) “사용자 프로파일 만들기”에서 이용자 유형을 ""학생""으로 선택 3) 서강대학교 클래스 ID와 PW 입력 후 나머지 정보 입력하며, 모든 항목 기재 완료 후 하단의 ""동의합니다"" 클릭 ※ 이메일은 서강대학교 이메일 (@sogang.ac.kr)만 이용 가능하며, Turnitin 계정의 아이디가 됩니다. ※ 클래스 ID와 PW는 도서관 홈페이지 로그인 후, 연구학습지원-연구지원-표절예방시스템 Turnitin 페이지에서 확인 가능합니다. (문의 : 창의지식협력팀 705-8953 libcomp@sogang.ac.kr)"
Turnitin 검사 결과가 몇 % 이상이면 표절인가요?,"Turnitin은 표절 여부를 결정해주는 프로그램이 아니며 유사도 %에 대한 절대적인 기준은 없습니다. 표절율은 Turnitin에서 제공하는 다양한 필터와 기준들을 변경하는 것만으로도 변경될 수 있습니다. 또한 여러번 수정, 재검사를 통해서 표절율이 낮아지는 것을 확인하실 수 있습니다. 상대적인 수치로 참고하시기 바랍니다. (문의 : 창의지식협력팀 705-8953 libcomp@sogang.ac.kr)"
교보도서관을 이용하려고 하는데 로그인이 되지 않습니다. 어떻게 하면 좋을까요??,"PC에서 도서관 홈페이지 로그인 후 교보문고 전자도서관 1회 접속하면, 전자도서관 앱에 사용자 정보가 등록됩니다. - PC 접속 후, 앱을 다운로드 받아 이용하시면 됩니다. - 앱 로그인 정보는 ID/PW 모두 학번입니다. 도서관에서 제공하는 전자책DB는 플랫폼 별로 이용방법이 달라 '전자책 서비스' 탭에서 각DB별로 이용방법을 확인하시기 바랍니다. (문의 : 창의지식협력팀 705-8692 libdigt@sogang.ac.kr)"
전자책 전체를 다운로드 받고 싶은데 가능한가요?,"전자책은 출판사 정책에 따라 다양한 방식으로 서비스되고 있으며, 해당 전자책 사이트에서 확인하실 수 있습니다. • 교보문고 전자책, Yes24 등 국내 전자책 ​- 인쇄도서와 같이 대출/반납 방식으로 이용 가능 - 본문 저장 및 출력은 불가능하며 전자책 전용 리더로 열람만 가능 • EBSCO eBook 등 국외 전자책 - 챕터별 또는 일부분 (약 30%)만 다운로드 및 출력 가능 - 대출하여 Adobe Digital Edtion에서 이용하고자 할 경우 EBSCO 개인 계정을 생성하여 로그인 후 대출 가능 (문의 : 창의지식협력팀 705-8692 libdigt@sogang.ac.kr)"
전자책도 희망도서 구입신청이 가능한가요?,"전자책 희망자료 신청은 단행본 구입신청 페이지와는 별도의 절차를 거칩니다. - 국내전자책 : 교보문고 전자도서관 사이트에서 오른쪽 상단의 '희망도서 신청하기' 클릭 후 자료를 검색하여 신청 - 국외전자책 : ProQuest Ebook Central에서 검색되는 자료에 한해 신청 구입 신청된 자료는 입수 가능 여부, 자료의 적절성과 가격 등을 고려하여 구매 여부를 결정하게 됩니다. 그리고 교보문고나 Amazon에서 판매되는 전자책을 도서관에서 입수할 수 없는 경우도 있는데, 출판사 또는 대행사에서 도서관용으로 판매를 허용하는 경우에만 구입이 가능합니다. (문의 : 창의지식협력팀 705-8692 libdigt@sogang.ac.kr)"
